Title,Rating1,Rating2,Year,imdb
Battleship Potyomkin,4,8,1925,tt0015648
Dog Day Afternoon,4,8,1975,tt0072890
Mr Smith Goes to Washington,4,8,1939,tt0031679
Pirates of the Caribbean Curse of the Black Pearl,4,8,2003,tt0325980
White Ribbon,4,8,2009,tt1149362
Rome Open City,4,8,1945,tt0038890
Walkabout,5,8,1971,tt0067959
Dead of Night,4,8,1945,tt0037635
Fate,4,8,2001,tt0287803
A Matter of Life and Death,4,8,1946,tt0038733
Sunrise,4,8,1927,tt0018455
Divorce Italian Style,4,8,1961,tt0055913
The Wind,4,8,1928,tt0019585
The Lady Eve,4,8,1941,tt0033804
The Landlord,4,8,1970,tt0065963
White Heat,4,8,1949,tt0042041
Lazzaro Felice,5,8,2018,tt6752992
Hairdresser's Husband,4,8,1990,tt0100112
Love Exposure,4,8,2008,tt1128075
The Best of Youth,4,8,2003,tt0346336
The Witch,5,8,2016,tt4263482
Das Cabinet Des Dr Caligari,5,8,1920,tt0010323
The Big Country,4,8,1958,tt0051411
Gladiator,4,8,2000,tt0172495
It's a Wonderful Life,5,8,1946,tt0038650
Nightcrawler,4,8,2014,tt2872718
The Sweet Smell of Success,4,8,1957,tt0051036
Ace in the Hole,5,8,1951,tt0043338
Mean Streets,4,8,1973,tt0070379
Groundhog Day,4,8,1993,tt0107048
Bringing Up Baby,4,8,1938,tt0029947
"One, Two, Three",4,8,1961,tt0055256
Life of Brian,4,8,1979,tt0079470
To Be or Not to Be,4,8,1942,tt0035446
Fireman's Ball,4,8,1967,tt0061781
Clerks,4,8,1994,tt0109445
A Fish Called Wanda,5,8,1988,tt0095159
The Blue Angel,4,8,1930,tt0020697
The Big Lebowski,5,8,1998,tt0118715
Life is Beautiful,4,8,1997,tt0118799
Paper Moon,4,8,1973,tt0070510
The Return,4,8,2003,tt0376968
Seduced and Abandoned,4,8,1964,tt0058564
Pather Panchali,4,8,1955,tt0048473
The Lion in Winter,4,8,1968,tt0063227
Festen,4,8,1998,tt0154420
A Clockwork Orange,5,8,1971,tt0066921
Exotica,4,8,1994,tt0109759
The Great Beauty ,4,8,2013,tt2358891
Why Don’t You Play In Hell,4,8,2013,tt2409302
Vertigo,5,8,1958,tt0052357
Beauty and the Beast,4,8,1946,tt0038348
Movie Dementia,4,8,1986,tt0091049
Persona,4,8,1966,tt0060827
The Swimmer,4,8,1968,tt0063663
Jean De Florette,4,8,1985,tt0091288
Dogville,5,8,2003,tt0276919
Happiness,4,8,1998,tt0147612
The Big Heat,4,8,1953,tt0045555
Angels with Dirty Faces,4,8,1938,tt0029870
Lock Stock and Two Smoking Barrels,4,8,1999,tt0120735
The Godfather II,5,8,1974,tt0071562
Pixote,4,8,1981,tt0082912
The Departed,5,8,2006,tt0407887
Paths of Glory,4,8,1957,tt0050825
Dazed and Confused,4,8,1993,tt0106677
As Tears Go By,5,8,1988,tt0096461
Brat,4,8,1997,tt0118767
Dirty Harry,4,8,1971,tt0066999
Le Samourai,5,8,1967,tt0062229
Terminator 2,5,8,1991,tt0103064
Brazil,4,8,1985,tt0088846
Notorious,5,8,1946,tt0038787
A Dog's Will,4,8,2000,tt0271383
Whiplash ,4,8,2014,tt2582802
Sabrina,4,8,1954,tt0047437
On the Waterfront,4,8,1954,tt0047296
Rashomon,5,8,1950,tt0042876
Witness for the Prosecution,4,8,1957,tt0051201
Leon the Professional,4,8,1994,tt0110413
Shrek,4,8,2001,tt0126029
Zootopia,4,8,2016,tt2948356
Shrek 2,4,8,2004,tt0298148
Woman in the Dunes,4,8,1964,tt0058625
Oldboy,4,8,2003,tt0364569
Kill Bill 2,5,8,2004,tt0378194
A Streetcar Named Desire,5,8,1951,tt0044081
In a Lonely Place,4,8,1950,tt0042593
Short Term 12,5,8,2013,tt2370248
The Intouchables,4,8,2011,tt1675434
A History of Violence,3,8,2005,tt0399146
Werckmeister Harmonies,3,8,2000,tt0249241
Braindead,3,8,1992,tt0103873
Rocky,,8,1976,tt0075148
Talk to Her,,8,2002,tt0287467
Casino,,8,1995,tt0112641
Sanjuro,,8,1962,tt0056443
The Hustler,,8,1961,tt0054997
Onibaba,,8,1964,tt0058430
The Set-Up,4,8,1949,tt0041859
From Dusk Till Dawn,4,7,1996,tt0116367
The Bridge on the River Kwai,4,7,1957,tt0050212
Once Upon a Time in The West,4,7,1968,tt0064116
Death by Hanging,4,7,1968,tt0063198
Murmur of the Heart,4,7,1971,tt0067778
Jules et Jim,4,7,1962,tt0055032
Last Tango in Paris,4,7,1972,tt0070849
Y Tu Mama Tambien,4,7,2001,tt0245574
Come and See,4,7,1985,tt0091251
Joint Security Area,4,7,2000,tt0260991
Saving Private Ryan,4,7,1998,tt0120815
Touch of Evil,4,7,1958,tt0052311
Only Lovers Left Alive,4,7,2013,tt1714915
Lawrence of Arabia,4,7,1962,tt0056172
Rebels of the Neon God,4,7,1992,tt0103935
Kick-Ass,4,7,2010,tt1250777
The Dark Knight,4,7,2009,tt0468569
Spider Man 2,4,7,2004,tt0316654
Wild at Heart,4,7,1990,tt0100935
Santa Sangre,4,7,1989,tt0098253
Lifeboat,4,7,1944,tt0037017
Locke,4,7,2013,tt2692904
Insomnia,4,7,2002,tt0278504
Rear Window,4,7,1954,tt0047396
Manyila in the Claws of Light,4,7,1975,tt0073363
The Treasure of Sierra Madre,4,7,1948,tt0040897
12 Monkeys,4,7,1995,tt0114746
Aliens,4,7,1986,tt0090605
Interstellar,4,7,2014,tt0816692
Minority Report,4,7,2002,tt0181689
2001: A Space Oddesy,4,7,1968,tt0062622
Natural Born Killers,4,7,1994,tt0110632
Annie Hall,4,7,1977,tt0075686
Minnie and Moskowitz,4,7,1971,tt0067433
Your Name,4,7,2016,tt5311514
Amelie,4,7,2001,tt0211915
To Have and to Have Not,4,7,1944,tt0037382
Virgin Spring,4,7,1960,tt0053976
The Seventh Seal,4,7,1957,tt0050976
The Song of Bernadette,4,7,1943,tt0036377
Splendor in the Grass,4,7,1961,tt0055471
Claire's Knee,4,7,1970,tt0065772
Birth of a Nation,4,7,1915,tt0004972
La Haine,4,7,1995,tt0113247
Midnight Cowboy,4,7,1969,tt0064665
Escape from New York,4,7,1981,tt0082340
The Bicycle Thieves,4,7,1948,tt0040522
No Man's Land,4,7,2001,tt0283509
The Manchurian Candidate,4,7,1962,tt0056218
Network,4,7,1976,tt0074958
Z ,4,7,1969,tt0065234
Wild Strawberries,4,7,1957,tt0050986
Black Narcissus,4,7,1947,tt0039192
Inglorious Basterds,4,7,2009,tt0361748
